Library,"Borrower category","Total items checked out/renewed","Adult items checked out/renewed","Young-adult items checked out/renewed","Juvenile items checked out/renewed","Other items checked out/renewed"
"Bern Community Library","Adult - digital only",,,,,
"Bern Community Library","Adult - homebound",,,,,
"Bern Community Library","Adult - library associate",,,,,
"Bern Community Library","Adult - library board of trustees",,,,,
"Bern Community Library","Adult - other",35,31,4,,
"Bern Community Library","Adult - self registered during the pandemic",,,,,
"Bern Community Library","Adult - temporary",,,,,
"Bern Community Library","Highland Community College - community member",,,,,
"Bern Community Library","Highland Community College - faculty",,,,,
"Bern Community Library","Highland Community College - faculty outreach",,,,,
"Bern Community Library","Highland Community College - staff",,,,,
"Bern Community Library","Highland Community College - student",,,,,
"Bern Community Library","Highland Community College - student outreach",,,,,
"Bern Community Library","Louisburg - Hoopla access",,,,,
"Bern Community Library","Minor - (age 00-11)",,,,,
"Bern Community Library","Minor - (age 00-17)",17,6,2,9,
"Bern Community Library","Minor - (age 12)",,,,,
"Bern Community Library","Minor - (age 13-17)",,,,,
"Bern Community Library","Minor - digital only (age 00-11)",,,,,
"Bern Community Library","Minor - digital only (age 00-17)",,,,,
"Bern Community Library","Minor - digital only (age 12)",,,,,
"Bern Community Library","Minor - digital only (ages 13-17)",,,,,
"Bern Community Library","Minor - Osawatomie student (age 00-17)",,,,,
"Bern Community Library","Minor - other (age 00-17)",5,,,5,
"Bern Community Library","Minor - temporary",,,,,
"Bern Community Library","Organization - book club",,,,,
"Bern Community Library","Organization - interlibrary loan (exempt-ILL)",,,,,
"Bern Community Library","Staff - in house use (exempt)",,,,,
"Bern Community Library","Staff - library associate (exempt)",,,,,
"Bern Community Library","Staff - Permissions template",,,,,
"Bern Community Library","Staff - SIP user",,,,,
"Bern Community Library","Staff - statistical purposes",,,,,
"Bern Community Library","Staff - system login (exempt)",,,,,
"Bern Community Library","Student (exempt)",,,,,
"Bern Community Library","Student (public library)",,,,,
"Bern Community Library","Teacher/Faculty/Administrator (exempt)",7,2,,5,
"Bern Community Library","Teacher/Faculty/Administrator (public library)",,,,,
"Bonner Springs City Library",Adult,4965,2345,158,2461,1
"Bonner Springs City Library","Adult - college student",,,,,
"Bonner Springs City Library","Adult - digital only",,,,,
"Bonner Springs City Library","Adult - homebound",60,60,,,
"Bonner Springs City Library","Adult - library associate",,,,,
"Bonner Springs City Library","Adult - library board of trustees",,,,,
"Bonner Springs City Library","Adult - other",12,12,,,
"Bonner Springs City Library","Adult - self registered during the pandemic",,,,,
"Bonner Springs City Library","Adult - temporary",,,,,
"Bonner Springs City Library","Highland Community College - community member",,,,,
"Bonner Springs City Library","Highland Community College - faculty",,,,,
"Bonner Springs City Library","Highland Community College - faculty outreach",,,,,
"Bonner Springs City Library","Highland Community College - staff",,,,,
"Bonner Springs City Library","Highland Community College - student",,,,,
"Bonner Springs City Library","Highland Community College - student outreach",,,,,
"Bonner Springs City Library","Louisburg - Hoopla access",,,,,
"Bonner Springs City Library","Minor - (age 00-11)",25,,1,24,
"Bonner Springs City Library","Minor - (age 00-17)",644,126,86,431,1
"Bonner Springs City Library","Minor - (age 12)",,,,,
"Bonner Springs City Library","Minor - (age 13-17)",,,,,
"Bonner Springs City Library","Minor - digital only (age 00-11)",,,,,
"Bonner Springs City Library","Minor - digital only (age 00-17)",,,,,
"Bonner Springs City Library","Minor - digital only (age 12)",,,,,
"Bonner Springs City Library","Minor - digital only (ages 13-17)",,,,,
"Bonner Springs City Library","Minor - Osawatomie student (age 00-17)",,,,,
"Bonner Springs City Library","Minor - other (age 00-17)",5,,,5,
"Bonner Springs City Library","Minor - temporary",,,,,
"Bonner Springs City Library","Organization - book club",1,1,,,
"Bonner Springs City Library","Organization - interlibrary loan (exempt-ILL)",73,56,6,11,
"Bonner Springs City Library","Staff - in house use (exempt)",170,30,62,78,
"Bonner Springs City Library","Staff - library associate (exempt)",597,325,25,247,
"Bonner Springs City Library","Staff - Permissions template",,,,,
"Bonner Springs City Library","Staff - SIP user",,,,,
"Bonner Springs City Library","Staff - statistical purposes",,,,,
"Bonner Springs City Library","Staff - system login (exempt)",,,,,
"Bonner Springs City Library","Student (exempt)",,,,,
"Bonner Springs City Library","Student (public library)",,,,,
"Bonner Springs City Library","Teacher/Faculty/Administrator (exempt)",9,5,2,2,
"Bonner Springs City Library","Teacher/Faculty/Administrator (public library)",,,,,
"Burlingame Community Library",Adult,527,232,19,276,
"Burlingame Community Library","Adult - college student",,,,,
"Burlingame Community Library","Adult - digital only",,,,,
"Burlingame Community Library","Adult - homebound",,,,,
"Burlingame Community Library","Adult - library associate",,,,,
"Burlingame Community Library","Adult - library board of trustees",,,,,
"Burlingame Community Library","Adult - other",4,4,,,
"Burlingame Community Library","Adult - self registered during the pandemic",,,,,
"Burlingame Community Library","Adult - temporary",,,,,
"Burlingame Community Library","Highland Community College - community member",,,,,
"Burlingame Community Library","Highland Community College - faculty",,,,,
"Burlingame Community Library","Highland Community College - faculty outreach",,,,,
"Burlingame Community Library","Highland Community College - staff",,,,,
"Burlingame Community Library","Highland Community College - student",,,,,
"Burlingame Community Library","Highland Community College - student outreach",,,,,
"Burlingame Community Library","Louisburg - Hoopla access",,,,,
"Burlingame Community Library","Minor - (age 00-11)",,,,,
"Burlingame Community Library","Minor - (age 00-17)",138,19,1,118,
"Burlingame Community Library","Minor - (age 12)",,,,,
"Burlingame Community Library","Minor - (age 13-17)",,,,,
"Burlingame Community Library","Minor - digital only (age 00-11)",,,,,
"Burlingame Community Library","Minor - digital only (age 00-17)",,,,,
"Burlingame Community Library","Minor - digital only (age 12)",,,,,
"Burlingame Community Library","Minor - digital only (ages 13-17)",,,,,
"Burlingame Community Library","Minor - Osawatomie student (age 00-17)",,,,,
"Burlingame Community Library","Minor - other (age 00-17)",,,,,
"Burlingame Community Library","Minor - temporary",,,,,
"Burlingame Community Library","Organization - book club",,,,,
"Burlingame Community Library","Organization - interlibrary loan (exempt-ILL)",,,,,
"Burlingame Community Library","Staff - in house use (exempt)",,,,,
"Burlingame Community Library","Staff - library associate (exempt)",,,,,
"Burlingame Community Library","Staff - Permissions template",,,,,
"Burlingame Community Library","Staff - SIP user",,,,,
"Burlingame Community Library","Staff - statistical purposes",,,,,
"Burlingame Community Library","Staff - system login (exempt)",,,,,
"Burlingame Community Library","Student (exempt)",,,,,
"Burlingame Community Library","Student (public library)",,,,,
"Burlingame Community Library","Teacher/Faculty/Administrator (exempt)",,,,,
"Burlingame Community Library","Teacher/Faculty/Administrator (public library)",,,,,
"Carbondale City Library",Adult,505,359,37,109,
"Carbondale City Library","Adult - college student",,,,,
"Carbondale City Library","Adult - digital only",,,,,
"Carbondale City Library","Adult - homebound",,,,,
"Carbondale City Library","Adult - library associate",,,,,
"Carbondale City Library","Adult - library board of trustees",,,,,
"Carbondale City Library","Adult - other",133,88,8,37,
"Carbondale City Library","Adult - self registered during the pandemic",,,,,
"Carbondale City Library","Adult - temporary",,,,,
"Carbondale City Library","Highland Community College - community member",,,,,
"Carbondale City Library","Highland Community College - faculty",,,,,
"Carbondale City Library","Highland Community College - faculty outreach",,,,,
"Carbondale City Library","Highland Community College - staff",,,,,
"Carbondale City Library","Highland Community College - student",,,,,
"Carbondale City Library","Highland Community College - student outreach",,,,,
"Carbondale City Library","Louisburg - Hoopla access",,,,,
"Carbondale City Library","Minor - (age 00-11)",,,,,
"Carbondale City Library","Minor - (age 00-17)",55,20,18,17,
"Carbondale City Library","Minor - (age 12)",,,,,
"Carbondale City Library","Minor - (age 13-17)",,,,,
"Carbondale City Library","Minor - digital only (age 00-11)",,,,,
"Carbondale City Library","Minor - digital only (age 00-17)",,,,,
"Carbondale City Library","Minor - digital only (age 12)",,,,,
"Carbondale City Library","Minor - digital only (ages 13-17)",,,,,
"Carbondale City Library","Minor - Osawatomie student (age 00-17)",,,,,
"Carbondale City Library","Minor - other (age 00-17)",,,,,
"Carbondale City Library","Minor - temporary",,,,,
"Carbondale City Library","Organization - book club",,,,,
"Carbondale City Library","Organization - interlibrary loan (exempt-ILL)",12,12,,,
"Carbondale City Library","Staff - in house use (exempt)",,,,,
"Carbondale City Library","Staff - library associate (exempt)",,,,,
"Carbondale City Library","Staff - Permissions template",,,,,
"Carbondale City Library","Staff - SIP user",,,,,
"Carbondale City Library","Staff - statistical purposes",,,,,
"Carbondale City Library","Staff - system login (exempt)",5,4,,1,
"Carbondale City Library","Student (exempt)",,,,,
"Carbondale City Library","Student (public library)",,,,,
"Carbondale City Library","Teacher/Faculty/Administrator (exempt)",,,,,
"Carbondale City Library","Teacher/Faculty/Administrator (public library)",,,,,
"Centralia Community Library",Adult,282,197,,85,
"Centralia Community Library","Adult - college student",,,,,
"Centralia Community Library","Adult - digital only",,,,,
"Centralia Community Library","Adult - homebound",,,,,
"Centralia Community Library","Adult - library associate",,,,,
"Centralia Community Library","Adult - library board of trustees",,,,,
"Centralia Community Library","Adult - other",,,,,
"Centralia Community Library","Adult - self registered during the pandemic",,,,,
"Centralia Community Library","Adult - temporary",,,,,
"Centralia Community Library","Highland Community College - community member",,,,,
"Centralia Community Library","Highland Community College - faculty",,,,,
"Centralia Community Library","Highland Community College - faculty outreach",,,,,
"Centralia Community Library","Highland Community College - staff",,,,,
"Centralia Community Library","Highland Community College - student",,,,,
"Centralia Community Library","Highland Community College - student outreach",,,,,
"Centralia Community Library","Louisburg - Hoopla access",,,,,
"Centralia Community Library","Minor - (age 00-11)",,,,,
"Centralia Community Library","Minor - (age 00-17)",36,17,4,15,
"Centralia Community Library","Minor - (age 12)",,,,,
"Centralia Community Library","Minor - (age 13-17)",,,,,
"Centralia Community Library","Minor - digital only (age 00-11)",,,,,
"Centralia Community Library","Minor - digital only (age 00-17)",,,,,
"Centralia Community Library","Minor - digital only (age 12)",,,,,
"Centralia Community Library","Minor - digital only (ages 13-17)",,,,,
"Centralia Community Library","Minor - Osawatomie student (age 00-17)",,,,,
"Centralia Community Library","Minor - other (age 00-17)",,,,,
"Centralia Community Library","Minor - temporary",,,,,
"Centralia Community Library","Organization - book club",,,,,
"Centralia Community Library","Organization - interlibrary loan (exempt-ILL)",34,29,1,4,
"Centralia Community Library","Staff - in house use (exempt)",,,,,
"Centralia Community Library","Staff - library associate (exempt)",,,,,
"Centralia Community Library","Staff - Permissions template",,,,,
"Centralia Community Library","Staff - SIP user",,,,,
"Centralia Community Library","Staff - statistical purposes",,,,,
"Centralia Community Library","Staff - system login (exempt)",,,,,
"Centralia Community Library","Student (exempt)",,,,,
"Centralia Community Library","Student (public library)",,,,,
"Centralia Community Library","Teacher/Faculty/Administrator (exempt)",,,,,
"Centralia Community Library","Teacher/Faculty/Administrator (public library)",,,,,
"Corning City Library",Adult,7,5,,2,
"Corning City Library","Adult - college student",,,,,
"Corning City Library","Adult - digital only",,,,,
"Corning City Library","Adult - homebound",,,,,
"Corning City Library","Adult - library associate",,,,,
"Corning City Library","Adult - library board of trustees",,,,,
"Corning City Library","Adult - other",,,,,
"Corning City Library","Adult - self registered during the pandemic",,,,,
"Corning City Library","Adult - temporary",,,,,
"Corning City Library","Highland Community College - community member",,,,,
"Corning City Library","Highland Community College - faculty",,,,,
"Corning City Library","Highland Community College - faculty outreach",,,,,
"Corning City Library","Highland Community College - staff",,,,,
"Corning City Library","Highland Community College - student",,,,,
"Corning City Library","Highland Community College - student outreach",3,3,,,
"Corning City Library","Louisburg - Hoopla access",,,,,
"Corning City Library","Minor - (age 00-11)",,,,,
"Corning City Library","Minor - (age 00-17)",7,6,1,,
"Corning City Library","Minor - (age 12)",,,,,
"Corning City Library","Minor - (age 13-17)",,,,,
"Corning City Library","Minor - digital only (age 00-11)",,,,,
"Corning City Library","Minor - digital only (age 00-17)",,,,,
"Corning City Library","Minor - digital only (age 12)",,,,,
"Corning City Library","Minor - digital only (ages 13-17)",,,,,
"Corning City Library","Minor - Osawatomie student (age 00-17)",,,,,
"Corning City Library","Minor - other (age 00-17)",,,,,
"Corning City Library","Minor - temporary",,,,,
"Corning City Library","Organization - book club",,,,,
"Corning City Library","Organization - interlibrary loan (exempt-ILL)",,,,,
"Corning City Library","Staff - in house use (exempt)",,,,,
"Corning City Library","Staff - library associate (exempt)",,,,,
"Corning City Library","Staff - Permissions template",,,,,
"Corning City Library","Staff - SIP user",,,,,
"Corning City Library","Staff - statistical purposes",,,,,
"Corning City Library","Staff - system login (exempt)",,,,,
"Corning City Library","Student (exempt)",,,,,
"Corning City Library","Student (public library)",,,,,
"Corning City Library","Teacher/Faculty/Administrator (exempt)",,,,,
"Corning City Library","Teacher/Faculty/Administrator (public library)",,,,,
"Digital Content",Adult,,,,,
"Digital Content","Adult - college student",,,,,
"Digital Content","Adult - digital only",,,,,
"Digital Content","Adult - homebound",,,,,
"Digital Content","Adult - library associate",,,,,
"Digital Content","Adult - library board of trustees",,,,,
"Digital Content","Adult - other",,,,,
"Digital Content","Adult - self registered during the pandemic",,,,,
"Digital Content","Adult - temporary",,,,,
"Digital Content","Highland Community College - community member",,,,,
"Digital Content","Highland Community College - faculty",,,,,
"Digital Content","Highland Community College - faculty outreach",,,,,
"Digital Content","Highland Community College - staff",,,,,
"Digital Content","Highland Community College - student",,,,,
"Digital Content","Highland Community College - student outreach",,,,,
"Digital Content","Louisburg - Hoopla access",,,,,
"Digital Content","Minor - (age 00-11)",,,,,
"Digital Content","Minor - (age 00-17)",,,,,
"Digital Content","Minor - (age 12)",,,,,
"Digital Content","Minor - (age 13-17)",,,,,
"Digital Content","Minor - digital only (age 00-11)",,,,,
"Digital Content","Minor - digital only (age 00-17)",,,,,
"Digital Content","Minor - digital only (age 12)",,,,,
"Digital Content","Minor - digital only (ages 13-17)",,,,,
"Digital Content","Minor - Osawatomie student (age 00-17)",,,,,
"Digital Content","Minor - other (age 00-17)",,,,,
"Digital Content","Minor - temporary",,,,,
"Digital Content","Organization - book club",,,,,
"Digital Content","Organization - interlibrary loan (exempt-ILL)",,,,,
"Digital Content","Staff - in house use (exempt)",,,,,
"Digital Content","Staff - library associate (exempt)",,,,,
"Digital Content","Staff - Permissions template",,,,,
"Digital Content","Staff - SIP user",,,,,
"Digital Content","Staff - statistical purposes",,,,,
"Digital Content","Staff - system login (exempt)",,,,,
"Digital Content","Student (exempt)",,,,,
"Digital Content","Student (public library)",,,,,
"Digital Content","Teacher/Faculty/Administrator (exempt)",,,,,
"Digital Content","Teacher/Faculty/Administrator (public library)",,,,,
"Doniphan County Library - Elwood",Adult,62,29,4,29,
"Doniphan County Library - Elwood","Adult - college student",,,,,
"Doniphan County Library - Elwood","Adult - digital only",,,,,
"Doniphan County Library - Elwood","Adult - homebound",,,,,
"Doniphan County Library - Elwood","Adult - library associate",,,,,
"Doniphan County Library - Elwood","Adult - library board of trustees",,,,,
"Doniphan County Library - Elwood","Adult - other",,,,,
"Doniphan County Library - Elwood","Adult - self registered during the pandemic",,,,,
"Doniphan County Library - Elwood","Adult - temporary",,,,,
"Doniphan County Library - Elwood","Highland Community College - community member",,,,,
"Doniphan County Library - Elwood","Highland Community College - faculty",,,,,
"Doniphan County Library - Elwood","Highland Community College - faculty outreach",,,,,
"Doniphan County Library - Elwood","Highland Community College - staff",,,,,
"Doniphan County Library - Elwood","Highland Community College - student",,,,,
"Doniphan County Library - Elwood","Highland Community College - student outreach",,,,,
"Doniphan County Library - Elwood","Louisburg - Hoopla access",,,,,
"Doniphan County Library - Elwood","Minor - (age 00-11)",,,,,
"Doniphan County Library - Elwood","Minor - (age 00-17)",39,28,2,9,
"Doniphan County Library - Elwood","Minor - (age 12)",,,,,
"Doniphan County Library - Elwood","Minor - (age 13-17)",,,,,
"Doniphan County Library - Elwood","Minor - digital only (age 00-11)",,,,,
"Doniphan County Library - Elwood","Minor - digital only (age 00-17)",,,,,
"Doniphan County Library - Elwood","Minor - digital only (age 12)",,,,,
"Doniphan County Library - Elwood","Minor - digital only (ages 13-17)",,,,,
"Doniphan County Library - Elwood","Minor - Osawatomie student (age 00-17)",,,,,
"Doniphan County Library - Elwood","Minor - other (age 00-17)",,,,,
"Doniphan County Library - Elwood","Minor - temporary",,,,,
"Doniphan County Library - Elwood","Organization - book club",,,,,
"Doniphan County Library - Elwood","Organization - interlibrary loan (exempt-ILL)",19,19,,,
"Doniphan County Library - Elwood","Staff - in house use (exempt)",54,46,5,3,
"Doniphan County Library - Elwood","Staff - library associate (exempt)",5,5,,,
"Doniphan County Library - Elwood","Staff - Permissions template",,,,,
"Doniphan County Library - Elwood","Staff - SIP user",,,,,
"Doniphan County Library - Elwood","Staff - statistical purposes",,,,,
"Doniphan County Library - Elwood","Staff - system login (exempt)",,,,,
"Doniphan County Library - Elwood","Student (exempt)",,,,,
"Doniphan County Library - Elwood","Student (public library)",,,,,
"Doniphan County Library - Elwood","Teacher/Faculty/Administrator (exempt)",,,,,
"Doniphan County Library - Elwood","Teacher/Faculty/Administrator (public library)",,,,,
"Doniphan County Library - Highland",Adult,415,273,3,139,
"Doniphan County Library - Highland","Adult - college student",,,,,
"Doniphan County Library - Highland","Adult - digital only",,,,,
"Doniphan County Library - Highland","Adult - homebound",,,,,
"Doniphan County Library - Highland","Adult - library associate",,,,,
"Doniphan County Library - Highland","Adult - library board of trustees",,,,,
"Doniphan County Library - Highland","Adult - other",12,12,,,
"Doniphan County Library - Highland","Adult - self registered during the pandemic",,,,,
"Doniphan County Library - Highland","Adult - temporary",,,,,
"Doniphan County Library - Highland","Highland Community College - community member",,,,,
"Doniphan County Library - Highland","Highland Community College - faculty",,,,,
"Doniphan County Library - Highland","Highland Community College - faculty outreach",,,,,
"Doniphan County Library - Highland","Highland Community College - staff",,,,,
"Doniphan County Library - Highland","Highland Community College - student",1,,1,,
"Doniphan County Library - Highland","Highland Community College - student outreach",,,,,
"Doniphan County Library - Highland","Louisburg - Hoopla access",,,,,
"Doniphan County Library - Highland","Minor - (age 00-11)",,,,,
"Doniphan County Library - Highland","Minor - (age 00-17)",5,3,,2,
"Doniphan County Library - Highland","Minor - (age 12)",,,,,
"Doniphan County Library - Highland","Minor - (age 13-17)",,,,,
"Doniphan County Library - Highland","Minor - digital only (age 00-11)",,,,,
"Doniphan County Library - Highland","Minor - digital only (age 00-17)",,,,,
"Doniphan County Library - Highland","Minor - digital only (age 12)",,,,,
"Doniphan County Library - Highland","Minor - digital only (ages 13-17)",,,,,
"Doniphan County Library - Highland","Minor - Osawatomie student (age 00-17)",,,,,
"Doniphan County Library - Highland","Minor - other (age 00-17)",,,,,
"Doniphan County Library - Highland","Minor - temporary",,,,,
"Doniphan County Library - Highland","Organization - book club",,,,,
"Doniphan County Library - Highland","Organization - interlibrary loan (exempt-ILL)",2,2,,,
"Doniphan County Library - Highland","Staff - in house use (exempt)",,,,,
"Doniphan County Library - Highland","Staff - library associate (exempt)",,,,,
"Doniphan County Library - Highland","Staff - Permissions template",,,,,
"Doniphan County Library - Highland","Staff - SIP user",,,,,
"Doniphan County Library - Highland","Staff - statistical purposes",,,,,
"Doniphan County Library - Highland","Staff - system login (exempt)",,,,,
"Doniphan County Library - Highland","Student (exempt)",,,,,
"Doniphan County Library - Highland","Student (public library)",,,,,
"Doniphan County Library - Highland","Teacher/Faculty/Administrator (exempt)",,,,,
"Doniphan County Library - Highland","Teacher/Faculty/Administrator (public library)",,,,,
"Doniphan County Library - Troy",Adult,440,344,2,94,
"Doniphan County Library - Troy","Adult - college student",,,,,
"Doniphan County Library - Troy","Adult - digital only",,,,,
"Doniphan County Library - Troy","Adult - homebound",,,,,
"Doniphan County Library - Troy","Adult - library associate",,,,,
"Doniphan County Library - Troy","Adult - library board of trustees",,,,,
"Doniphan County Library - Troy","Adult - other",4,2,,2,
"Doniphan County Library - Troy","Adult - self registered during the pandemic",,,,,
"Doniphan County Library - Troy","Adult - temporary",,,,,
"Doniphan County Library - Troy","Highland Community College - community member",,,,,
"Doniphan County Library - Troy","Highland Community College - faculty",,,,,
"Doniphan County Library - Troy","Highland Community College - faculty outreach",,,,,
"Doniphan County Library - Troy","Highland Community College - staff",,,,,
"Doniphan County Library - Troy","Highland Community College - student",,,,,
"Doniphan County Library - Troy","Highland Community College - student outreach",,,,,
"Doniphan County Library - Troy","Louisburg - Hoopla access",,,,,
"Doniphan County Library - Troy","Minor - (age 00-11)",,,,,
"Doniphan County Library - Troy","Minor - (age 00-17)",149,4,2,143,
"Doniphan County Library - Troy","Minor - (age 12)",,,,,
"Doniphan County Library - Troy","Minor - (age 13-17)",,,,,
"Doniphan County Library - Troy","Minor - digital only (age 00-11)",,,,,
"Doniphan County Library - Troy","Minor - digital only (age 00-17)",,,,,
"Doniphan County Library - Troy","Minor - digital only (age 12)",,,,,
"Doniphan County Library - Troy","Minor - digital only (ages 13-17)",,,,,
"Doniphan County Library - Troy","Minor - Osawatomie student (age 00-17)",,,,,
"Doniphan County Library - Troy","Minor - other (age 00-17)",,,,,
"Doniphan County Library - Troy","Minor - temporary",,,,,
"Doniphan County Library - Troy","Organization - book club",,,,,
"Doniphan County Library - Troy","Organization - interlibrary loan (exempt-ILL)",6,6,,,
