branchname,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,MONTHLY_TOTAL
"Prairie Hills Schools - Axtell Public School",,,,,35,28,,,15,18,32,29,15,,,,13,24,11,,,,,16,20,13,6,,,14,13,117
"Prairie Hills Schools - Sabetha Elementary School",,,,,65,54,,,65,67,68,53,52,,,,62,97,77,49,,,57,65,56,66,58,,,65,67,357
"Prairie Hills Schools - Sabetha High School",,,,1,3,8,,,12,,1,3,,,,,4,,1,3,,,1,3,4,,,,,4,1,38
"Prairie Hills Schools - Sabetha Middle School",,,,,25,5,,,9,7,12,13,3,,,,17,9,2,4,,,23,5,7,3,4,,,5,9,113
"Prairie Hills Schools - Wetmore Academic Center",,,,,29,36,,,3,,21,15,9,,,,1,,,43,,,,7,,30,7,,,,,85
"Richmond Public Library",,,3,13,8,12,3,,8,,10,7,10,5,,1,,11,9,12,5,,10,,12,8,14,9,,10,,43
"Rossville Community Library",2,,21,19,27,12,7,2,21,25,9,18,27,4,,,29,31,24,35,6,,11,17,20,20,23,10,3,16,13,204
"Sabetha, Mary Cotton Library",2,14,36,34,39,26,14,,44,32,28,29,46,12,,28,34,24,26,44,22,1,25,36,35,32,38,16,,24,25,297
"Seneca Free Library",1,2,37,27,22,22,9,,28,25,21,14,28,16,,25,28,22,25,29,7,,27,25,14,28,21,9,,25,16,231
"Silver Lake Library",,1,23,18,33,13,7,,39,22,20,15,27,5,,12,26,19,29,7,4,,43,16,24,22,16,9,1,5,38,186
"Tonganoxie Public Library",4,21,40,63,52,52,33,18,47,55,55,42,46,26,21,40,49,42,59,39,32,8,46,50,53,54,43,42,24,49,37,580
"Valley Falls, Delaware Township Library",,,6,7,7,9,5,,6,4,9,5,3,2,,,11,5,7,14,3,,8,3,4,6,12,7,,6,4,73
"Wellsville City Library",,1,20,14,20,23,6,,16,17,23,15,14,8,,9,14,22,14,24,14,,13,22,19,18,31,5,,8,23,166
"Wetmore Public Library",,,4,8,,5,,,4,,4,2,3,2,,3,5,4,1,6,7,,2,3,3,5,8,2,,2,1,27
"Williamsburg Community Library",,,6,8,,,1,,9,5,8,1,,,,1,7,5,1,,1,,3,7,3,,8,6,,4,3,53
"Winchester Public Library",3,1,1,7,5,7,1,,4,2,4,2,11,1,,,6,6,8,5,2,,4,6,5,12,9,4,,5,4,52
