branchname,"ITEM TYPE","TOTAL ITEMS","ADULT ITEMS","YOUNG ADULT ITEMS","JUVENILE ITEMS","TOTAL ADDED LM","ADULT ADDED LM","YOUNG ADULT ADDED LM","JUVENILE ADDED LM","TOTAL DELETED LM","ADULT DELETED LM","YOUNG ADULT DELETED LM","JUVENILE DELETED LM"
"Bern Community Library","Book club set",,,,,,,,,,,,
"Bern Community Library","Computers and internet : Laptop computer",,,,,,,,,,,,
"Bern Community Library","Computers and internet : Launchpad tablet",,,,,,,,,,,,
"Bern Community Library","Computers and internet : Public computer",,,,,,,,,,,,
"Bern Community Library","Computers and internet : Software",,,,,,,,,,,,
"Bern Community Library","Computers and internet : Tablets, e-readers, and personal computing devices",,,,,,,,,,,,
"Bern Community Library","COMPUTERS AND INTERNET : WIRELESS INTERNET HOTSPOT",,,,,,,,,,,,
"Bern Community Library","E-content : Digital content",,,,,,,,,,,,
"Bern Community Library","E-content : E-learning course",,,,,,,,,,,,
"Bern Community Library","Inter-library loan",,,,,,,,,,,,
"Bern Community Library","Inter-library loan - 07 day loan",,,,,,,,,,,,
"Bern Community Library","Inter-library loan - 14 day loan",,,,,,,,,,,,
"Bern Community Library","Inter-library loan - 21 day loan",,,,,,,,,,,,
"Bern Community Library","Inter-library loan - 28 day loan",,,,,,,,,,,,
"Bern Community Library",Key,,,,,,,,,,,,
"Bern Community Library","Kit or multi-part set",,,,,,,,,,,,
"Bern Community Library",MAGAZINE,,,,,,,,,,,,
"Bern Community Library","Magazine (new)",,,,,,,,,,,,
"Bern Community Library",Music,299,299,,,,,,,,,,
"Bern Community Library",Pamphlet,,,,,,,,,,,,
"Bern Community Library","Reference material",81,81,,,,,,,,,,
"Bern Community Library","Reserve desk : Highland Community College",,,,,,,,,,,,
"Bern Community Library",Room,,,,,,,,,,,,
"Bern Community Library","Special collections (local requests only)",,,,,,,,,,,,
"Bern Community Library","Special collections (no requests allowed)",,,,,,,,,,,,
"Bern Community Library","Story walk",,,,,,,,,,,,
"Bern Community Library","Things : Artwork",,,,,,,,,,,,
"Bern Community Library","Things : Bicycles (and bicycle accessories)",,,,,,,,,,,,
"Bern Community Library","Things : Board games, dolls, puzzles, and toys",,,,,,,,,,,,
"Bern Community Library","Things : Clothing, costumes, and masks",,,,,,,,,,,,
"Bern Community Library","Things : Cooking equipment",,,,,,,,,,,,
"Bern Community Library","Things : Die cut equipment",,,,,,,,,,,,
"Bern Community Library","Things : Equipment",,,,,,,,,,,,
"Bern Community Library","Things : Kansas Parks Pass",,,,,,,,,,,,
"Bern Community Library","Things : Museum pass / event pass",,,,,,,,,,,,
"Bern Community Library","Things : Recreation and sports",,,,,,,,,,,,
"Bern Community Library","Things : Tools",,,,,,,,,,,,
"Bern Community Library",Video,1309,1170,1,138,2,2,,,,,,
"Bern Community Library","Video (Local requests only)",,,,,,,,,,,,
"Bern Community Library","Video (New)",7,4,,3,,,,,,,,
"Bern Community Library","Video (No requests allowed)",,,,,,,,,,,,
"Bern Community Library","Video (Television)",,,,,,,,,,,,
"Bern Community Library","Video game",,,,,,,,,,,,
"Bonner Springs City Library",(Unclassified),3,3,,,,,,,,,,
"Bonner Springs City Library",AUDIOBOOK,2311,2143,80,88,1,1,,,,,,
"Bonner Springs City Library","AUDIOBOOK (MEDIA PLAYER)",,,,,,,,,,,,
"Bonner Springs City Library","Audiobook (new)",58,58,,,16,16,,,,,,
"Bonner Springs City Library",Book,48717,24417,6123,18177,48,32,3,13,59,,,
"Bonner Springs City Library","Book (local requests only)",,,,,,,,,,,,
"Bonner Springs City Library","Book (new)",1279,573,274,432,285,143,33,109,1,,,
"Bonner Springs City Library","Book (no requests allowed)",,,,,,,,,,,,
"Bonner Springs City Library","Book club set",,,,,,,,,,,,
"Bonner Springs City Library","Computers and internet : Laptop computer",,,,,,,,,,,,
"Bonner Springs City Library","Computers and internet : Launchpad tablet",2,,,2,,,,,,,,
"Bonner Springs City Library","Computers and internet : Public computer",,,,,,,,,,,,
"Bonner Springs City Library","Computers and internet : Software",,,,,,,,,,,,
"Bonner Springs City Library","Computers and internet : Tablets, e-readers, and personal computing devices",,,,,,,,,,,,
"Bonner Springs City Library","COMPUTERS AND INTERNET : WIRELESS INTERNET HOTSPOT",2,2,,,,,,,,,,
"Bonner Springs City Library","E-content : Digital content",,,,,,,,,,,,
"Bonner Springs City Library","E-content : E-learning course",,,,,,,,,,,,
"Bonner Springs City Library","Inter-library loan",52,52,,,38,38,,,31,4,,
"Bonner Springs City Library","Inter-library loan - 07 day loan",,,,,,,,,,,,
"Bonner Springs City Library","Inter-library loan - 14 day loan",,,,,,,,,,,,
"Bonner Springs City Library","Inter-library loan - 21 day loan",,,,,,,,,,,,
"Bonner Springs City Library","Inter-library loan - 28 day loan",,,,,,,,,,,,
"Bonner Springs City Library",Key,,,,,,,,,,,,
"Bonner Springs City Library","Kit or multi-part set",89,11,1,77,,,,,,,,
"Bonner Springs City Library",MAGAZINE,1148,1047,,101,55,50,,5,,,,
"Bonner Springs City Library","Magazine (new)",,,,,,,,,,,,
"Bonner Springs City Library",Music,1138,1000,,138,,,,,,,,
"Bonner Springs City Library",Pamphlet,,,,,,,,,,,,
"Bonner Springs City Library","Reference material",397,374,,23,3,3,,,,,,
"Bonner Springs City Library","Reserve desk : Highland Community College",,,,,,,,,,,,
"Bonner Springs City Library",Room,,,,,,,,,,,,
"Bonner Springs City Library","Special collections (local requests only)",4,3,,1,,,,,,,,
"Bonner Springs City Library","Special collections (no requests allowed)",23,10,9,4,,,,,,,,
"Bonner Springs City Library","Story walk",,,,,,,,,,,,
"Bonner Springs City Library","Things : Artwork",,,,,,,,,,,,
"Bonner Springs City Library","Things : Bicycles (and bicycle accessories)",,,,,,,,,,,,
"Bonner Springs City Library","Things : Board games, dolls, puzzles, and toys",,,,,,,,,,,,
"Bonner Springs City Library","Things : Clothing, costumes, and masks",,,,,,,,,,,,
"Bonner Springs City Library","Things : Cooking equipment",,,,,,,,,,,,
"Bonner Springs City Library","Things : Die cut equipment",,,,,,,,,,,,
"Bonner Springs City Library","Things : Equipment",9,9,,,,,,,,,,
"Bonner Springs City Library","Things : Kansas Parks Pass",,,,,,,,,,,,
"Bonner Springs City Library","Things : Museum pass / event pass",4,4,,,,,,,,,,
"Bonner Springs City Library","Things : Recreation and sports",,,,,,,,,,,,
"Bonner Springs City Library","Things : Tools",,,,,,,,,,,,
"Bonner Springs City Library",Video,4815,3740,,1075,19,15,,4,3,,,
"Bonner Springs City Library","Video (Local requests only)",,,,,,,,,,,,
"Bonner Springs City Library","Video (New)",1,1,,,,,,,,,,
"Bonner Springs City Library","Video (No requests allowed)",,,,,,,,,,,,
"Bonner Springs City Library","Video (Television)",745,680,,65,7,7,,,1,,,
"Bonner Springs City Library","Video game",168,19,3,146,,,,,,,,
"Burlingame Community Library",(Unclassified),,,,,,,,,,,,
"Burlingame Community Library",AUDIOBOOK,620,585,,35,1,1,,,,,,
"Burlingame Community Library","AUDIOBOOK (MEDIA PLAYER)",,,,,,,,,,,,
"Burlingame Community Library","Audiobook (new)",1,1,,,,,,,,,,
"Burlingame Community Library",Book,11114,6963,550,3601,50,40,,10,49,,,
"Burlingame Community Library","Book (local requests only)",,,,,,,,,,,,
"Burlingame Community Library","Book (new)",3,1,,2,,,,,,,,
"Burlingame Community Library","Book (no requests allowed)",,,,,,,,,,,,
"Burlingame Community Library","Book club set",,,,,,,,,,,,
"Burlingame Community Library","Computers and internet : Laptop computer",19,19,,,,,,,,,,
"Burlingame Community Library","Computers and internet : Launchpad tablet",,,,,,,,,,,,
"Burlingame Community Library","Computers and internet : Public computer",10,10,,,,,,,,,,
"Burlingame Community Library","Computers and internet : Software",,,,,,,,,,,,
"Burlingame Community Library","Computers and internet : Tablets, e-readers, and personal computing devices",1,,,1,,,,,,,,
"Burlingame Community Library","COMPUTERS AND INTERNET : WIRELESS INTERNET HOTSPOT",35,35,,,,,,,1,,,
"Burlingame Community Library","E-content : Digital content",,,,,,,,,,,,
"Burlingame Community Library","E-content : E-learning course",,,,,,,,,,,,
"Burlingame Community Library","Inter-library loan",22,19,1,2,2,2,,,5,4,,
"Burlingame Community Library","Inter-library loan - 07 day loan",,,,,,,,,,,,
"Burlingame Community Library","Inter-library loan - 14 day loan",,,,,,,,,,,,
"Burlingame Community Library","Inter-library loan - 21 day loan",,,,,,,,,,,,
"Burlingame Community Library","Inter-library loan - 28 day loan",,,,,,,,,,,,
"Burlingame Community Library",Key,,,,,,,,,,,,
"Burlingame Community Library","Kit or multi-part set",18,10,,8,8,,,8,,,,
"Burlingame Community Library",MAGAZINE,,,,,,,,,,,,
"Burlingame Community Library","Magazine (new)",,,,,,,,,,,,
"Burlingame Community Library",Music,94,94,,,1,1,,,,,,
"Burlingame Community Library",Pamphlet,,,,,,,,,,,,
"Burlingame Community Library","Reference material",,,,,,,,,,,,
"Burlingame Community Library","Reserve desk : Highland Community College",,,,,,,,,,,,
"Burlingame Community Library",Room,,,,,,,,,,,,
"Burlingame Community Library","Special collections (local requests only)",,,,,,,,,,,,
"Burlingame Community Library","Special collections (no requests allowed)",3,,,3,,,,,,,,
"Burlingame Community Library","Story walk",,,,,,,,,,,,
"Burlingame Community Library","Things : Artwork",,,,,,,,,,,,
"Burlingame Community Library","Things : Bicycles (and bicycle accessories)",,,,,,,,,,,,
"Burlingame Community Library","Things : Board games, dolls, puzzles, and toys",,,,,,,,,,,,
"Burlingame Community Library","Things : Clothing, costumes, and masks",,,,,,,,,,,,
"Burlingame Community Library","Things : Cooking equipment",,,,,,,,,,,,
"Burlingame Community Library","Things : Die cut equipment",,,,,,,,,,,,
"Burlingame Community Library","Things : Equipment",18,18,,,,,,,,,,
"Burlingame Community Library","Things : Kansas Parks Pass",,,,,,,,,,,,
"Burlingame Community Library","Things : Museum pass / event pass",,,,,,,,,,,,
"Burlingame Community Library","Things : Recreation and sports",,,,,,,,,,,,
"Burlingame Community Library","Things : Tools",,,,,,,,,,,,
"Burlingame Community Library",Video,2919,2369,,550,17,16,,1,7,,,
"Burlingame Community Library","Video (Local requests only)",,,,,,,,,,,,
"Burlingame Community Library","Video (New)",1,,,1,,,,,,,,
"Burlingame Community Library","Video (No requests allowed)",,,,,,,,,,,,
"Burlingame Community Library","Video (Television)",5,5,,,,,,,,,,
"Burlingame Community Library","Video game",85,76,6,3,,,,,,,,
"Carbondale City Library",(Unclassified),1,,,1,,,,,,,,
"Carbondale City Library",AUDIOBOOK,8,6,,2,,,,,,,,
"Carbondale City Library","AUDIOBOOK (MEDIA PLAYER)",,,,,,,,,,,,
"Carbondale City Library","Audiobook (new)",,,,,,,,,,,,
"Carbondale City Library",Book,8476,5563,1162,1751,74,64,3,7,17,,,
"Carbondale City Library","Book (local requests only)",,,,,,,,,,,,
"Carbondale City Library","Book (new)",1,,,1,,,,,,,,
"Carbondale City Library","Book (no requests allowed)",,,,,,,,,,,,
"Carbondale City Library","Book club set",,,,,,,,,,,,
"Carbondale City Library","Computers and internet : Laptop computer",,,,,,,,,,,,
"Carbondale City Library","Computers and internet : Launchpad tablet",,,,,,,,,,,,
"Carbondale City Library","Computers and internet : Public computer",,,,,,,,,,,,
"Carbondale City Library","Computers and internet : Software",,,,,,,,,,,,
"Carbondale City Library","Computers and internet : Tablets, e-readers, and personal computing devices",,,,,,,,,,,,
"Carbondale City Library","COMPUTERS AND INTERNET : WIRELESS INTERNET HOTSPOT",,,,,,,,,,,,
"Carbondale City Library","E-content : Digital content",,,,,,,,,,,,
"Carbondale City Library","E-content : E-learning course",,,,,,,,,,,,
"Carbondale City Library","Inter-library loan",,,,,,,,,,,,
"Carbondale City Library","Inter-library loan - 07 day loan",,,,,,,,,,,,
"Carbondale City Library","Inter-library loan - 14 day loan",,,,,,,,,,,,
"Carbondale City Library","Inter-library loan - 21 day loan",,,,,,,,,,,,
"Carbondale City Library","Inter-library loan - 28 day loan",,,,,,,,,,,,
"Carbondale City Library",Key,,,,,,,,,,,,
"Carbondale City Library","Kit or multi-part set",1,,,1,,,,,,,,
"Carbondale City Library",MAGAZINE,,,,,,,,,,,,
"Carbondale City Library","Magazine (new)",,,,,,,,,,,,
"Carbondale City Library",Music,,,,,,,,,,,,
"Carbondale City Library",Pamphlet,,,,,,,,,,,,
"Carbondale City Library","Reference material",,,,,,,,,,,,
"Carbondale City Library","Reserve desk : Highland Community College",,,,,,,,,,,,
"Carbondale City Library",Room,,,,,,,,,,,,
"Carbondale City Library","Special collections (local requests only)",112,110,,2,3,3,,,,,,
"Carbondale City Library","Special collections (no requests allowed)",,,,,,,,,,,,
"Carbondale City Library","Story walk",,,,,,,,,,,,
"Carbondale City Library","Things : Artwork",,,,,,,,,,,,
"Carbondale City Library","Things : Bicycles (and bicycle accessories)",,,,,,,,,,,,
"Carbondale City Library","Things : Board games, dolls, puzzles, and toys",,,,,,,,,,,,
"Carbondale City Library","Things : Clothing, costumes, and masks",,,,,,,,,,,,
"Carbondale City Library","Things : Cooking equipment",,,,,,,,,,,,
"Carbondale City Library","Things : Die cut equipment",,,,,,,,,,,,
"Carbondale City Library","Things : Equipment",,,,,,,,,,,,
"Carbondale City Library","Things : Kansas Parks Pass",1,1,,,,,,,,,,
"Carbondale City Library","Things : Museum pass / event pass",,,,,,,,,,,,
"Carbondale City Library","Things : Recreation and sports",,,,,,,,,,,,
"Carbondale City Library","Things : Tools",,,,,,,,,,,,
"Carbondale City Library",Video,2506,2061,8,437,50,45,,5,1,,,
"Carbondale City Library","Video (Local requests only)",,,,,,,,,,,,
"Carbondale City Library","Video (New)",3,3,,,,,,,,,,
"Carbondale City Library","Video (No requests allowed)",,,,,,,,,,,,
"Carbondale City Library","Video (Television)",2,2,,,1,1,,,,,,
"Carbondale City Library","Video game",27,1,24,2,,,,,,,,
"Centralia Community Library",(Unclassified),,,,,,,,,,,,
"Centralia Community Library",AUDIOBOOK,321,290,9,22,,,,,,,,
"Centralia Community Library","AUDIOBOOK (MEDIA PLAYER)",,,,,,,,,,,,
"Centralia Community Library","Audiobook (new)",,,,,,,,,,,,
"Centralia Community Library",Book,6910,4223,514,2173,46,29,,17,3,,,
"Centralia Community Library","Book (local requests only)",,,,,,,,,,,,
"Centralia Community Library","Book (new)",,,,,,,,,,,,
"Centralia Community Library","Book (no requests allowed)",,,,,,,,,,,,
"Centralia Community Library","Book club set",,,,,,,,,,,,
"Centralia Community Library","Computers and internet : Laptop computer",,,,,,,,,,,,
"Centralia Community Library","Computers and internet : Launchpad tablet",,,,,,,,,,,,
"Centralia Community Library","Computers and internet : Public computer",,,,,,,,,,,,
"Centralia Community Library","Computers and internet : Software",,,,,,,,,,,,
"Centralia Community Library","Computers and internet : Tablets, e-readers, and personal computing devices",,,,,,,,,,,,
"Centralia Community Library","COMPUTERS AND INTERNET : WIRELESS INTERNET HOTSPOT",,,,,,,,,,,,
"Centralia Community Library","E-content : Digital content",,,,,,,,,,,,
"Centralia Community Library","E-content : E-learning course",,,,,,,,,,,,
"Centralia Community Library","Inter-library loan",,,,,,,,,,,,
"Centralia Community Library","Inter-library loan - 07 day loan",,,,,,,,,,,,
"Centralia Community Library","Inter-library loan - 14 day loan",,,,,,,,,,,,
"Centralia Community Library","Inter-library loan - 21 day loan",,,,,,,,,,,,
"Centralia Community Library","Inter-library loan - 28 day loan",,,,,,,,,,,,
"Centralia Community Library",Key,,,,,,,,,,,,
"Centralia Community Library","Kit or multi-part set",,,,,,,,,,,,
"Centralia Community Library",MAGAZINE,53,53,,,4,4,,,5,,,
"Centralia Community Library","Magazine (new)",,,,,,,,,,,,
"Centralia Community Library",Music,,,,,,,,,,,,
"Centralia Community Library",Pamphlet,,,,,,,,,,,,
"Centralia Community Library","Reference material",,,,,,,,,,,,
"Centralia Community Library","Reserve desk : Highland Community College",,,,,,,,,,,,
"Centralia Community Library",Room,,,,,,,,,,,,
"Centralia Community Library","Special collections (local requests only)",,,,,,,,,,,,
"Centralia Community Library","Special collections (no requests allowed)",1,1,,,,,,,,,,
"Centralia Community Library","Story walk",,,,,,,,,,,,
"Centralia Community Library","Things : Artwork",,,,,,,,,,,,
"Centralia Community Library","Things : Bicycles (and bicycle accessories)",,,,,,,,,,,,
