LIBRARY,BORROWER_CATEGORY,"TOTAL BORROWERS","BORROWERS RENEWED LAST MONTH","BORROWERS ADDED LAST MONTH","BORROWERS DELETED LAST MONTH","THIS LIBRARY CAN ACCESS THIS CATEGORY"
"Burlingame Community Library","Highland Community College Faculty",,,,,
"Burlingame Community Library","Highland Community College Faculty Outreach",,,,,
"Burlingame Community Library","Highland Community College Staff",,,,,
"Burlingame Community Library","Highland Community College Student",,,,,
"Burlingame Community Library","Highland Community College Student Outreach",,,,,
"Burlingame Community Library",Homebound,1,,,,
"Burlingame Community Library","Hoopla E-Content User",,,,,
"Burlingame Community Library","Horton Family Other",,,,,
"Burlingame Community Library","Horton Family User",,,,,
"Burlingame Community Library","Horton Special User",,,,,
"Burlingame Community Library","In-House Use by Library Staff (exempt)",,,,,
"Burlingame Community Library","Interlibrary Loan (exempt-ILL)",,,,,Yes
"Burlingame Community Library","Library associate (exempt)",,,,,
"Burlingame Community Library","Library Associate.",,,,,
"Burlingame Community Library","Library Board",,,,,
"Burlingame Community Library","Minor - 0-11",,,,,
"Burlingame Community Library","Minor - 12",,,,,
"Burlingame Community Library","Minor - 13-17",,,,,
"Burlingame Community Library","Minor temporary",,,,,
"Burlingame Community Library","Minor-Digital only (age 00-11)",,,,,
"Burlingame Community Library","Minor-Digital only (age 00-17)",,,,,
"Burlingame Community Library","Minor-Digital only (age 12)",,,,,
"Burlingame Community Library","Minor-Digital only (ages 13-17)",,,,,
"Burlingame Community Library","Osawatomie Student User",,,,,
"Burlingame Community Library","Other Adult",5,,,,Yes
"Burlingame Community Library","Other Child",,,,,Yes
"Burlingame Community Library","Self registerd",,,,,Yes
"Burlingame Community Library","Student - Public Library",,,,,
"Burlingame Community Library","Student (exempt)",,,,,
"Burlingame Community Library","SYSTEM login only (exempt)",2,,,,
"Burlingame Community Library","Teacher/Faculty/Administrator - Public Library",,,,,
"Burlingame Community Library","Teacher/Faculty/Administrator (exempt)",,,,,Yes
"Carbondale City Library",Adult,482,19,8,5,Yes
"Carbondale City Library","Adult temporary",,,,,
"Carbondale City Library","Adult-Digital only",,,,,
"Carbondale City Library","Book Club",1,,,,Yes
"Carbondale City Library",Child,126,6,2,1,Yes
"Carbondale City Library","College Student",,,,,
"Carbondale City Library","For statistical purposes ",,,,,
"Carbondale City Library","Highland Community College Community Member",,,,,
"Carbondale City Library","Highland Community College Faculty",,,,,
"Carbondale City Library","Highland Community College Faculty Outreach",,,,,
"Carbondale City Library","Highland Community College Staff",,,,,
"Carbondale City Library","Highland Community College Student",,,,,
"Carbondale City Library","Highland Community College Student Outreach",,,,,
"Carbondale City Library",Homebound,,,,,
"Carbondale City Library","Hoopla E-Content User",,,,,
"Carbondale City Library","Horton Family Other",,,,,
"Carbondale City Library","Horton Family User",,,,,
"Carbondale City Library","Horton Special User",,,,,
"Carbondale City Library","In-House Use by Library Staff (exempt)",,,,,
"Carbondale City Library","Interlibrary Loan (exempt-ILL)",1,,,,Yes
"Carbondale City Library","Library associate (exempt)",,,,,
"Carbondale City Library","Library Associate.",,,,,
"Carbondale City Library","Library Board",,,,,
"Carbondale City Library","Minor - 0-11",,,,,
"Carbondale City Library","Minor - 12",,,,,
"Carbondale City Library","Minor - 13-17",,,,,
"Carbondale City Library","Minor temporary",,,,,
"Carbondale City Library","Minor-Digital only (age 00-11)",,,,,
"Carbondale City Library","Minor-Digital only (age 00-17)",,,,,
"Carbondale City Library","Minor-Digital only (age 12)",,,,,
"Carbondale City Library","Minor-Digital only (ages 13-17)",,,,,
"Carbondale City Library","Osawatomie Student User",,,,,
"Carbondale City Library","Other Adult",74,4,2,2,Yes
"Carbondale City Library","Other Child",6,,,,Yes
"Carbondale City Library","Self registerd",,,,,Yes
"Carbondale City Library","Student - Public Library",,,,,
"Carbondale City Library","Student (exempt)",,,,,
"Carbondale City Library","SYSTEM login only (exempt)",4,,,,
"Carbondale City Library","Teacher/Faculty/Administrator - Public Library",,,,,
"Carbondale City Library","Teacher/Faculty/Administrator (exempt)",,,,,Yes
"Centralia Community Library",Adult,171,7,2,1,Yes
"Centralia Community Library","Adult temporary",,,,,
"Centralia Community Library","Adult-Digital only",,,,,
"Centralia Community Library","Book Club",,,,,Yes
"Centralia Community Library",Child,37,3,,,Yes
"Centralia Community Library","College Student",,,,,
"Centralia Community Library","For statistical purposes ",,,,,
"Centralia Community Library","Highland Community College Community Member",,,,,
"Centralia Community Library","Highland Community College Faculty",,,,,
"Centralia Community Library","Highland Community College Faculty Outreach",,,,,
"Centralia Community Library","Highland Community College Staff",,,,,
"Centralia Community Library","Highland Community College Student",,,,,
"Centralia Community Library","Highland Community College Student Outreach",,,,,
"Centralia Community Library",Homebound,,,,,
"Centralia Community Library","Hoopla E-Content User",,,,,
"Centralia Community Library","Horton Family Other",,,,,
"Centralia Community Library","Horton Family User",,,,,
"Centralia Community Library","Horton Special User",,,,,
"Centralia Community Library","In-House Use by Library Staff (exempt)",,,,,
"Centralia Community Library","Interlibrary Loan (exempt-ILL)",1,,,,Yes
"Centralia Community Library","Library associate (exempt)",3,1,,,Yes
"Centralia Community Library","Library Associate.",,,,,
"Centralia Community Library","Library Board",,,,,
"Centralia Community Library","Minor - 0-11",,,,,
"Centralia Community Library","Minor - 12",,,,,
"Centralia Community Library","Minor - 13-17",,,,,
"Centralia Community Library","Minor temporary",,,,,
"Centralia Community Library","Minor-Digital only (age 00-11)",,,,,
"Centralia Community Library","Minor-Digital only (age 00-17)",,,,,
"Centralia Community Library","Minor-Digital only (age 12)",,,,,
"Centralia Community Library","Minor-Digital only (ages 13-17)",,,,,
"Centralia Community Library","Osawatomie Student User",,,,,
"Centralia Community Library","Other Adult",,,,,Yes
"Centralia Community Library","Other Child",,,,,Yes
"Centralia Community Library","Self registerd",,,,,Yes
"Centralia Community Library","Student - Public Library",,,,,
"Centralia Community Library","Student (exempt)",,,,,
"Centralia Community Library","SYSTEM login only (exempt)",3,,,,
"Centralia Community Library","Teacher/Faculty/Administrator - Public Library",,,,,
"Centralia Community Library","Teacher/Faculty/Administrator (exempt)",,,,,Yes
"Corning City Library",Adult,65,1,,,Yes
"Corning City Library","Adult temporary",,,,,
"Corning City Library","Adult-Digital only",,,,,
"Corning City Library","Book Club",,,,,Yes
"Corning City Library",Child,63,,,1,Yes
"Corning City Library","College Student",,,,,
"Corning City Library","For statistical purposes ",,,,,
"Corning City Library","Highland Community College Community Member",,,,,
"Corning City Library","Highland Community College Faculty",,,,,
"Corning City Library","Highland Community College Faculty Outreach",,,,,
"Corning City Library","Highland Community College Staff",,,,,
"Corning City Library","Highland Community College Student",,,,,
"Corning City Library","Highland Community College Student Outreach",,,,,
"Corning City Library",Homebound,,,,,
"Corning City Library","Hoopla E-Content User",,,,,
"Corning City Library","Horton Family Other",,,,,
"Corning City Library","Horton Family User",,,,,
"Corning City Library","Horton Special User",,,,,
"Corning City Library","In-House Use by Library Staff (exempt)",,,,,
"Corning City Library","Interlibrary Loan (exempt-ILL)",1,,,,Yes
"Corning City Library","Library associate (exempt)",1,,,,Yes
"Corning City Library","Library Associate.",,,,,
"Corning City Library","Library Board",,,,,
"Corning City Library","Minor - 0-11",,,,,
"Corning City Library","Minor - 12",,,,,
"Corning City Library","Minor - 13-17",,,,,
"Corning City Library","Minor temporary",,,,,
"Corning City Library","Minor-Digital only (age 00-11)",,,,,
"Corning City Library","Minor-Digital only (age 00-17)",,,,,
"Corning City Library","Minor-Digital only (age 12)",,,,,
"Corning City Library","Minor-Digital only (ages 13-17)",,,,,
"Corning City Library","Osawatomie Student User",,,,,
"Corning City Library","Other Adult",,,,,Yes
"Corning City Library","Other Child",,,,,Yes
"Corning City Library","Self registerd",,,,,Yes
"Corning City Library","Student - Public Library",,,,,
"Corning City Library","Student (exempt)",,,,,
"Corning City Library","SYSTEM login only (exempt)",2,,,,
"Corning City Library","Teacher/Faculty/Administrator - Public Library",,,,,
"Corning City Library","Teacher/Faculty/Administrator (exempt)",,,,,Yes
"Digital Content",Adult,2,,,,
"Digital Content","Adult temporary",,,,,
"Digital Content","Adult-Digital only",,,,,Yes
"Digital Content","Book Club",,,,,
"Digital Content",Child,,,,,
"Digital Content","College Student",,,,,
"Digital Content","For statistical purposes ",,,,,
"Digital Content","Highland Community College Community Member",,,,,
"Digital Content","Highland Community College Faculty",,,,,
"Digital Content","Highland Community College Faculty Outreach",,,,,
"Digital Content","Highland Community College Staff",,,,,
"Digital Content","Highland Community College Student",,,,,
"Digital Content","Highland Community College Student Outreach",,,,,
"Digital Content",Homebound,,,,,
"Digital Content","Hoopla E-Content User",,,,,
"Digital Content","Horton Family Other",,,,,
"Digital Content","Horton Family User",,,,,
"Digital Content","Horton Special User",,,,,
"Digital Content","In-House Use by Library Staff (exempt)",,,,,
"Digital Content","Interlibrary Loan (exempt-ILL)",,,,,
"Digital Content","Library associate (exempt)",,,,,
"Digital Content","Library Associate.",,,,,
"Digital Content","Library Board",,,,,
"Digital Content","Minor - 0-11",,,,,
"Digital Content","Minor - 12",,,,,
"Digital Content","Minor - 13-17",,,,,
"Digital Content","Minor temporary",,,,,
"Digital Content","Minor-Digital only (age 00-11)",,,,,Yes
"Digital Content","Minor-Digital only (age 00-17)",,,,,Yes
"Digital Content","Minor-Digital only (age 12)",,,,,Yes
"Digital Content","Minor-Digital only (ages 13-17)",,,,,Yes
"Digital Content","Osawatomie Student User",,,,,
"Digital Content","Other Adult",,,,,
"Digital Content","Other Child",,,,,
"Digital Content","Self registerd",32,,,1,
"Digital Content","Student - Public Library",,,,,
"Digital Content","Student (exempt)",,,,,
"Digital Content","SYSTEM login only (exempt)",1,,,,
"Digital Content","Teacher/Faculty/Administrator - Public Library",,,,,
"Digital Content","Teacher/Faculty/Administrator (exempt)",,,,,
"Doniphan County Library - Elwood",Adult,225,1,,,Yes
"Doniphan County Library - Elwood","Adult temporary",,,,,
"Doniphan County Library - Elwood","Adult-Digital only",,,,,
"Doniphan County Library - Elwood","Book Club",,,,,Yes
"Doniphan County Library - Elwood",Child,153,2,,1,Yes
"Doniphan County Library - Elwood","College Student",,,,,Yes
"Doniphan County Library - Elwood","For statistical purposes ",1,,,,Yes
"Doniphan County Library - Elwood","Highland Community College Community Member",,,,,
"Doniphan County Library - Elwood","Highland Community College Faculty",,,,,
"Doniphan County Library - Elwood","Highland Community College Faculty Outreach",,,,,
"Doniphan County Library - Elwood","Highland Community College Staff",,,,,
"Doniphan County Library - Elwood","Highland Community College Student",,,,,
"Doniphan County Library - Elwood","Highland Community College Student Outreach",,,,,
"Doniphan County Library - Elwood",Homebound,,,,,
"Doniphan County Library - Elwood","Hoopla E-Content User",,,,,
"Doniphan County Library - Elwood","Horton Family Other",,,,,
"Doniphan County Library - Elwood","Horton Family User",,,,,
"Doniphan County Library - Elwood","Horton Special User",,,,,
"Doniphan County Library - Elwood","In-House Use by Library Staff (exempt)",,,,,Yes
"Doniphan County Library - Elwood","Interlibrary Loan (exempt-ILL)",1,,,,Yes
"Doniphan County Library - Elwood","Library associate (exempt)",3,,,,Yes
"Doniphan County Library - Elwood","Library Associate.",,,,,
"Doniphan County Library - Elwood","Library Board",,,,,
"Doniphan County Library - Elwood","Minor - 0-11",,,,,
"Doniphan County Library - Elwood","Minor - 12",,,,,
"Doniphan County Library - Elwood","Minor - 13-17",1,,,,
"Doniphan County Library - Elwood","Minor temporary",,,,,
"Doniphan County Library - Elwood","Minor-Digital only (age 00-11)",,,,,
"Doniphan County Library - Elwood","Minor-Digital only (age 00-17)",,,,,
"Doniphan County Library - Elwood","Minor-Digital only (age 12)",,,,,
"Doniphan County Library - Elwood","Minor-Digital only (ages 13-17)",,,,,
"Doniphan County Library - Elwood","Osawatomie Student User",,,,,
"Doniphan County Library - Elwood","Other Adult",1,,,,Yes
"Doniphan County Library - Elwood","Other Child",,,,,Yes
"Doniphan County Library - Elwood","Self registerd",,,,,Yes
"Doniphan County Library - Elwood","Student - Public Library",,,,,
"Doniphan County Library - Elwood","Student (exempt)",,,,,
"Doniphan County Library - Elwood","SYSTEM login only (exempt)",1,,,,
"Doniphan County Library - Elwood","Teacher/Faculty/Administrator - Public Library",,,,,
"Doniphan County Library - Elwood","Teacher/Faculty/Administrator (exempt)",1,,,,Yes
"Doniphan County Library - Highland",Adult,247,5,4,2,Yes
"Doniphan County Library - Highland","Adult temporary",,,,,
"Doniphan County Library - Highland","Adult-Digital only",,,,,
"Doniphan County Library - Highland","Book Club",,,,,Yes
"Doniphan County Library - Highland",Child,106,,,2,Yes
"Doniphan County Library - Highland","College Student",70,,,12,Yes
"Doniphan County Library - Highland","For statistical purposes ",,,,,Yes
"Doniphan County Library - Highland","Highland Community College Community Member",,,,,
"Doniphan County Library - Highland","Highland Community College Faculty",,,,,
"Doniphan County Library - Highland","Highland Community College Faculty Outreach",,,,,
"Doniphan County Library - Highland","Highland Community College Staff",,,,,
"Doniphan County Library - Highland","Highland Community College Student",,,,,
"Doniphan County Library - Highland","Highland Community College Student Outreach",,,,,
"Doniphan County Library - Highland",Homebound,,,,,
"Doniphan County Library - Highland","Hoopla E-Content User",,,,,
"Doniphan County Library - Highland","Horton Family Other",,,,,
"Doniphan County Library - Highland","Horton Family User",,,,,
"Doniphan County Library - Highland","Horton Special User",,,,,
"Doniphan County Library - Highland","In-House Use by Library Staff (exempt)",,,,,Yes
"Doniphan County Library - Highland","Interlibrary Loan (exempt-ILL)",1,,,,Yes
"Doniphan County Library - Highland","Library associate (exempt)",1,,,,Yes
"Doniphan County Library - Highland","Library Associate.",,,,,
"Doniphan County Library - Highland","Library Board",,,,,
"Doniphan County Library - Highland","Minor - 0-11",,,,,
"Doniphan County Library - Highland","Minor - 12",,,,,
"Doniphan County Library - Highland","Minor - 13-17",,,,,
"Doniphan County Library - Highland","Minor temporary",,,,,
"Doniphan County Library - Highland","Minor-Digital only (age 00-11)",,,,,
"Doniphan County Library - Highland","Minor-Digital only (age 00-17)",,,,,
"Doniphan County Library - Highland","Minor-Digital only (age 12)",,,,,
"Doniphan County Library - Highland","Minor-Digital only (ages 13-17)",,,,,
"Doniphan County Library - Highland","Osawatomie Student User",,,,,
"Doniphan County Library - Highland","Other Adult",10,,,,Yes
"Doniphan County Library - Highland","Other Child",,,,,Yes
"Doniphan County Library - Highland","Self registerd",,,,,Yes
"Doniphan County Library - Highland","Student - Public Library",,,,,
"Doniphan County Library - Highland","Student (exempt)",,,,,
"Doniphan County Library - Highland","SYSTEM login only (exempt)",1,,,,
"Doniphan County Library - Highland","Teacher/Faculty/Administrator - Public Library",,,,,
"Doniphan County Library - Highland","Teacher/Faculty/Administrator (exempt)",1,,,,Yes
"Doniphan County Library - Troy",Adult,631,20,4,19,Yes
"Doniphan County Library - Troy","Adult temporary",,,,,
"Doniphan County Library - Troy","Adult-Digital only",,,,,
"Doniphan County Library - Troy","Book Club",1,,,,Yes
"Doniphan County Library - Troy",Child,258,2,4,3,Yes
"Doniphan County Library - Troy","College Student",10,,,,Yes
"Doniphan County Library - Troy","For statistical purposes ",2,,,,Yes
"Doniphan County Library - Troy","Highland Community College Community Member",,,,,
"Doniphan County Library - Troy","Highland Community College Faculty",,,,,
"Doniphan County Library - Troy","Highland Community College Faculty Outreach",,,,,
"Doniphan County Library - Troy","Highland Community College Staff",,,,,
"Doniphan County Library - Troy","Highland Community College Student",,,,,
"Doniphan County Library - Troy","Highland Community College Student Outreach",,,,,
"Doniphan County Library - Troy",Homebound,,,,,
"Doniphan County Library - Troy","Hoopla E-Content User",,,,,
"Doniphan County Library - Troy","Horton Family Other",,,,,
"Doniphan County Library - Troy","Horton Family User",,,,,
"Doniphan County Library - Troy","Horton Special User",,,,,
"Doniphan County Library - Troy","In-House Use by Library Staff (exempt)",2,,,,Yes
"Doniphan County Library - Troy","Interlibrary Loan (exempt-ILL)",2,,,,Yes
"Doniphan County Library - Troy","Library associate (exempt)",13,,,,Yes
"Doniphan County Library - Troy","Library Associate.",,,,,
"Doniphan County Library - Troy","Library Board",,,,,
"Doniphan County Library - Troy","Minor - 0-11",,,,,
"Doniphan County Library - Troy","Minor - 12",,,,,
"Doniphan County Library - Troy","Minor - 13-17",,,,,
"Doniphan County Library - Troy","Minor temporary",,,,,
"Doniphan County Library - Troy","Minor-Digital only (age 00-11)",,,,,
"Doniphan County Library - Troy","Minor-Digital only (age 00-17)",,,,,
"Doniphan County Library - Troy","Minor-Digital only (age 12)",,,,,
