LIBRARY,BORROWER_CATEGORY,"TOTAL BORROWERS","BORROWERS RENEWED LAST MONTH","BORROWERS ADDED LAST MONTH","BORROWERS DELETED LAST MONTH","THIS LIBRARY CAN ACCESS THIS CATEGORY"
"Bern Community Library","Minor - other (age 00-17)",3,,,,Yes
"Bern Community Library","Minor - temporary",,,,,
"Bern Community Library","Organization - book club",,,,,Yes
"Bern Community Library","Organization - interlibrary loan (exempt-ILL)",1,,,,Yes
"Bern Community Library","Staff - in house use (exempt)",,,,,
"Bern Community Library","Staff - library associate (exempt)",,,,,
"Bern Community Library","Staff - Permissions template",,,,,
"Bern Community Library","Staff - SIP user",,,,,
"Bern Community Library","Staff - statistical purposes",,,,,
"Bern Community Library","Staff - system login (exempt)",23,,,,
"Bern Community Library","Student (exempt)",,,,,
"Bern Community Library","Student (public library)",,,,,
"Bern Community Library","Teacher/Faculty/Administrator (exempt)",5,,,,Yes
"Bern Community Library","Teacher/Faculty/Administrator (public library)",,,,,
"Bonner Springs City Library",Adult,5956,79,27,6,Yes
"Bonner Springs City Library","Adult - college student",,,,,
"Bonner Springs City Library","Adult - digital only",,,,,Yes
"Bonner Springs City Library","Adult - homebound",10,,,,Yes
"Bonner Springs City Library","Adult - library associate",,,,,
"Bonner Springs City Library","Adult - library board of trustees",,,,,
"Bonner Springs City Library","Adult - other",105,,1,,Yes
"Bonner Springs City Library","Adult - self registered during the pandemic",,,,,
"Bonner Springs City Library","Adult - temporary",,,,,
"Bonner Springs City Library","Highland Community College - community member",,,,,
"Bonner Springs City Library","Highland Community College - faculty",,,,,
"Bonner Springs City Library","Highland Community College - faculty outreach",,,,,
"Bonner Springs City Library","Highland Community College - staff",,,,,
"Bonner Springs City Library","Highland Community College - student",,,,,
"Bonner Springs City Library","Highland Community College - student outreach",,,,,
"Bonner Springs City Library","Louisburg - Hoopla access",,,,,
"Bonner Springs City Library","Minor - (age 00-11)",,,,,
"Bonner Springs City Library","Minor - (age 00-17)",1745,6,2,,Yes
"Bonner Springs City Library","Minor - (age 12)",,,,,
"Bonner Springs City Library","Minor - (age 13-17)",,,,,
"Bonner Springs City Library","Minor - digital only (age 00-11)",,,,,
"Bonner Springs City Library","Minor - digital only (age 00-17)",,,,,Yes
"Bonner Springs City Library","Minor - digital only (age 12)",,,,,
"Bonner Springs City Library","Minor - digital only (ages 13-17)",,,,,
"Bonner Springs City Library","Minor - Osawatomie student (age 00-17)",,,,,
"Bonner Springs City Library","Minor - other (age 00-17)",4,,1,,Yes
"Bonner Springs City Library","Minor - temporary",,,,,
"Bonner Springs City Library","Organization - book club",2,,,,Yes
"Bonner Springs City Library","Organization - interlibrary loan (exempt-ILL)",464,,,,Yes
"Bonner Springs City Library","Staff - in house use (exempt)",6,,,,Yes
"Bonner Springs City Library","Staff - library associate (exempt)",22,3,,,Yes
"Bonner Springs City Library","Staff - Permissions template",,,,,
"Bonner Springs City Library","Staff - SIP user",2,,,,
"Bonner Springs City Library","Staff - statistical purposes",,,,,
"Bonner Springs City Library","Staff - system login (exempt)",24,,,,
"Bonner Springs City Library","Student (exempt)",,,,,
"Bonner Springs City Library","Student (public library)",,,,,
"Bonner Springs City Library","Teacher/Faculty/Administrator (exempt)",14,,,,Yes
"Bonner Springs City Library","Teacher/Faculty/Administrator (public library)",,,,,
"Burlingame Community Library",Adult,513,9,2,,Yes
"Burlingame Community Library","Adult - college student",,,,,
"Burlingame Community Library","Adult - digital only",,,,,
"Burlingame Community Library","Adult - homebound",1,1,,,
"Burlingame Community Library","Adult - library associate",,,,,
"Burlingame Community Library","Adult - library board of trustees",,,,,
"Burlingame Community Library","Adult - other",8,,,,Yes
"Burlingame Community Library","Adult - self registered during the pandemic",,,,,
"Burlingame Community Library","Adult - temporary",,,,,
"Burlingame Community Library","Highland Community College - community member",,,,,
"Burlingame Community Library","Highland Community College - faculty",,,,,
"Burlingame Community Library","Highland Community College - faculty outreach",,,,,
"Burlingame Community Library","Highland Community College - staff",,,,,
"Burlingame Community Library","Highland Community College - student",,,,,
"Burlingame Community Library","Highland Community College - student outreach",,,,,
"Burlingame Community Library","Louisburg - Hoopla access",,,,,
"Burlingame Community Library","Minor - (age 00-11)",,,,,
"Burlingame Community Library","Minor - (age 00-17)",157,,2,,Yes
"Burlingame Community Library","Minor - (age 12)",,,,,
"Burlingame Community Library","Minor - (age 13-17)",,,,,
"Burlingame Community Library","Minor - digital only (age 00-11)",,,,,
"Burlingame Community Library","Minor - digital only (age 00-17)",,,,,
"Burlingame Community Library","Minor - digital only (age 12)",,,,,
"Burlingame Community Library","Minor - digital only (ages 13-17)",,,,,
"Burlingame Community Library","Minor - Osawatomie student (age 00-17)",,,,,
"Burlingame Community Library","Minor - other (age 00-17)",,,,,Yes
"Burlingame Community Library","Minor - temporary",,,,,
"Burlingame Community Library","Organization - book club",2,,,,Yes
"Burlingame Community Library","Organization - interlibrary loan (exempt-ILL)",,,,,Yes
"Burlingame Community Library","Staff - in house use (exempt)",,,,,
"Burlingame Community Library","Staff - library associate (exempt)",,,,,
"Burlingame Community Library","Staff - Permissions template",,,,,
"Burlingame Community Library","Staff - SIP user",,,,,
"Burlingame Community Library","Staff - statistical purposes",,,,,
"Burlingame Community Library","Staff - system login (exempt)",22,,,,
"Burlingame Community Library","Student (exempt)",,,,,
"Burlingame Community Library","Student (public library)",,,,,
"Burlingame Community Library","Teacher/Faculty/Administrator (exempt)",,,,,Yes
"Burlingame Community Library","Teacher/Faculty/Administrator (public library)",,,,,
"Carbondale City Library",Adult,577,12,3,,Yes
"Carbondale City Library","Adult - college student",,,,,
"Carbondale City Library","Adult - digital only",,,,,
"Carbondale City Library","Adult - homebound",,,,,
"Carbondale City Library","Adult - library associate",,,,,
"Carbondale City Library","Adult - library board of trustees",,,,,
"Carbondale City Library","Adult - other",76,6,,,Yes
"Carbondale City Library","Adult - self registered during the pandemic",,,,,
"Carbondale City Library","Adult - temporary",,,,,
"Carbondale City Library","Highland Community College - community member",,,,,
"Carbondale City Library","Highland Community College - faculty",,,,,
"Carbondale City Library","Highland Community College - faculty outreach",,,,,
"Carbondale City Library","Highland Community College - staff",,,,,
"Carbondale City Library","Highland Community College - student",,,,,
"Carbondale City Library","Highland Community College - student outreach",,,,,
"Carbondale City Library","Louisburg - Hoopla access",,,,,
"Carbondale City Library","Minor - (age 00-11)",,,,,
"Carbondale City Library","Minor - (age 00-17)",142,,2,,Yes
"Carbondale City Library","Minor - (age 12)",,,,,
"Carbondale City Library","Minor - (age 13-17)",,,,,
"Carbondale City Library","Minor - digital only (age 00-11)",,,,,
"Carbondale City Library","Minor - digital only (age 00-17)",,,,,
"Carbondale City Library","Minor - digital only (age 12)",,,,,
"Carbondale City Library","Minor - digital only (ages 13-17)",,,,,
"Carbondale City Library","Minor - Osawatomie student (age 00-17)",,,,,
"Carbondale City Library","Minor - other (age 00-17)",7,,,,Yes
"Carbondale City Library","Minor - temporary",,,,,
"Carbondale City Library","Organization - book club",2,,,,Yes
"Carbondale City Library","Organization - interlibrary loan (exempt-ILL)",1,,,,Yes
"Carbondale City Library","Staff - in house use (exempt)",,,,,
"Carbondale City Library","Staff - library associate (exempt)",,,,,
"Carbondale City Library","Staff - Permissions template",,,,,
"Carbondale City Library","Staff - SIP user",,,,,
"Carbondale City Library","Staff - statistical purposes",,,,,
"Carbondale City Library","Staff - system login (exempt)",24,,,,
"Carbondale City Library","Student (exempt)",,,,,
"Carbondale City Library","Student (public library)",,,,,
"Carbondale City Library","Teacher/Faculty/Administrator (exempt)",,,,,Yes
"Carbondale City Library","Teacher/Faculty/Administrator (public library)",,,,,
"Centralia Community Library",Adult,188,24,1,1,Yes
"Centralia Community Library","Adult - college student",,,,,
"Centralia Community Library","Adult - digital only",,,,,
"Centralia Community Library","Adult - homebound",,,,,
"Centralia Community Library","Adult - library associate",,,,,
"Centralia Community Library","Adult - library board of trustees",,,,,
"Centralia Community Library","Adult - other",,,,,Yes
"Centralia Community Library","Adult - self registered during the pandemic",,,,,
"Centralia Community Library","Adult - temporary",,,,,
"Centralia Community Library","Highland Community College - community member",,,,,
"Centralia Community Library","Highland Community College - faculty",,,,,
"Centralia Community Library","Highland Community College - faculty outreach",,,,,
"Centralia Community Library","Highland Community College - staff",,,,,
"Centralia Community Library","Highland Community College - student",,,,,
"Centralia Community Library","Highland Community College - student outreach",,,,,
"Centralia Community Library","Louisburg - Hoopla access",,,,,
"Centralia Community Library","Minor - (age 00-11)",,,,,
"Centralia Community Library","Minor - (age 00-17)",36,7,,,Yes
"Centralia Community Library","Minor - (age 12)",,,,,
"Centralia Community Library","Minor - (age 13-17)",,,,,
"Centralia Community Library","Minor - digital only (age 00-11)",,,,,
"Centralia Community Library","Minor - digital only (age 00-17)",,,,,
"Centralia Community Library","Minor - digital only (age 12)",,,,,
"Centralia Community Library","Minor - digital only (ages 13-17)",,,,,
"Centralia Community Library","Minor - Osawatomie student (age 00-17)",,,,,
"Centralia Community Library","Minor - other (age 00-17)",,,,,Yes
"Centralia Community Library","Minor - temporary",,,,,
"Centralia Community Library","Organization - book club",1,,,,Yes
"Centralia Community Library","Organization - interlibrary loan (exempt-ILL)",1,,,,Yes
"Centralia Community Library","Staff - in house use (exempt)",,,,,
"Centralia Community Library","Staff - library associate (exempt)",2,1,,,Yes
"Centralia Community Library","Staff - Permissions template",,,,,
"Centralia Community Library","Staff - SIP user",,,,,
"Centralia Community Library","Staff - statistical purposes",,,,,
"Centralia Community Library","Staff - system login (exempt)",23,,,,
"Centralia Community Library","Student (exempt)",,,,,
"Centralia Community Library","Student (public library)",,,,,
"Centralia Community Library","Teacher/Faculty/Administrator (exempt)",,,,,Yes
"Centralia Community Library","Teacher/Faculty/Administrator (public library)",,,,,
"Corning City Library",Adult,70,,,,Yes
"Corning City Library","Adult - college student",,,,,
"Corning City Library","Adult - digital only",,,,,
"Corning City Library","Adult - homebound",,,,,
"Corning City Library","Adult - library associate",,,,,
"Corning City Library","Adult - library board of trustees",,,,,
"Corning City Library","Adult - other",,,,,
"Corning City Library","Adult - self registered during the pandemic",,,,,
"Corning City Library","Adult - temporary",,,,,
"Corning City Library","Highland Community College - community member",,,,,
"Corning City Library","Highland Community College - faculty",,,,,
"Corning City Library","Highland Community College - faculty outreach",,,,,
"Corning City Library","Highland Community College - staff",,,,,
"Corning City Library","Highland Community College - student",,,,,
"Corning City Library","Highland Community College - student outreach",,,,,
"Corning City Library","Louisburg - Hoopla access",,,,,
"Corning City Library","Minor - (age 00-11)",,,,,
"Corning City Library","Minor - (age 00-17)",63,2,1,,Yes
"Corning City Library","Minor - (age 12)",,,,,
"Corning City Library","Minor - (age 13-17)",,,,,
"Corning City Library","Minor - digital only (age 00-11)",,,,,
"Corning City Library","Minor - digital only (age 00-17)",,,,,
"Corning City Library","Minor - digital only (age 12)",,,,,
"Corning City Library","Minor - digital only (ages 13-17)",,,,,
"Corning City Library","Minor - Osawatomie student (age 00-17)",,,,,
"Corning City Library","Minor - other (age 00-17)",,,,,
"Corning City Library","Minor - temporary",,,,,
"Corning City Library","Organization - book club",,,,,Yes
"Corning City Library","Organization - interlibrary loan (exempt-ILL)",1,,,,Yes
"Corning City Library","Staff - in house use (exempt)",,,,,
"Corning City Library","Staff - library associate (exempt)",,,,,
"Corning City Library","Staff - Permissions template",,,,,
"Corning City Library","Staff - SIP user",,,,,
"Corning City Library","Staff - statistical purposes",,,,,
"Corning City Library","Staff - system login (exempt)",22,,,,
"Corning City Library","Student (exempt)",,,,,
"Corning City Library","Student (public library)",,,,,
"Corning City Library","Teacher/Faculty/Administrator (exempt)",,,,,
"Corning City Library","Teacher/Faculty/Administrator (public library)",,,,,
"Digital Content",Adult,2,,,,
"Digital Content","Adult - college student",,,,,
"Digital Content","Adult - digital only",,,,,Yes
"Digital Content","Adult - homebound",,,,,
"Digital Content","Adult - library associate",,,,,
"Digital Content","Adult - library board of trustees",,,,,
"Digital Content","Adult - other",,,,,
"Digital Content","Adult - self registered during the pandemic",8,,,,
"Digital Content","Adult - temporary",,,,,
"Digital Content","Highland Community College - community member",,,,,
"Digital Content","Highland Community College - faculty",,,,,
"Digital Content","Highland Community College - faculty outreach",,,,,
"Digital Content","Highland Community College - staff",,,,,
"Digital Content","Highland Community College - student",,,,,
"Digital Content","Highland Community College - student outreach",,,,,
"Digital Content","Louisburg - Hoopla access",,,,,
"Digital Content","Minor - (age 00-11)",,,,,
"Digital Content","Minor - (age 00-17)",,,,,
"Digital Content","Minor - (age 12)",,,,,
"Digital Content","Minor - (age 13-17)",,,,,
"Digital Content","Minor - digital only (age 00-11)",,,,,Yes
"Digital Content","Minor - digital only (age 00-17)",,,,,Yes
"Digital Content","Minor - digital only (age 12)",,,,,Yes
"Digital Content","Minor - digital only (ages 13-17)",,,,,Yes
"Digital Content","Minor - Osawatomie student (age 00-17)",,,,,
"Digital Content","Minor - other (age 00-17)",,,,,
"Digital Content","Minor - temporary",,,,,
"Digital Content","Organization - book club",,,,,
"Digital Content","Organization - interlibrary loan (exempt-ILL)",,,,,
"Digital Content","Staff - in house use (exempt)",,,,,
"Digital Content","Staff - library associate (exempt)",,,,,
"Digital Content","Staff - Permissions template",,,,,
"Digital Content","Staff - SIP user",,,,,
"Digital Content","Staff - statistical purposes",,,,,
"Digital Content","Staff - system login (exempt)",23,,,,
"Digital Content","Student (exempt)",,,,,
"Digital Content","Student (public library)",,,,,
"Digital Content","Teacher/Faculty/Administrator (exempt)",,,,,
"Digital Content","Teacher/Faculty/Administrator (public library)",,,,,
"Doniphan County Library - Elwood",Adult,246,3,2,,Yes
"Doniphan County Library - Elwood","Adult - college student",,,,,Yes
"Doniphan County Library - Elwood","Adult - digital only",,,,,
"Doniphan County Library - Elwood","Adult - homebound",,,,,
"Doniphan County Library - Elwood","Adult - library associate",,,,,
"Doniphan County Library - Elwood","Adult - library board of trustees",,,,,
"Doniphan County Library - Elwood","Adult - other",,,,,Yes
"Doniphan County Library - Elwood","Adult - self registered during the pandemic",,,,,
"Doniphan County Library - Elwood","Adult - temporary",,,,,
"Doniphan County Library - Elwood","Highland Community College - community member",,,,,
"Doniphan County Library - Elwood","Highland Community College - faculty",,,,,
"Doniphan County Library - Elwood","Highland Community College - faculty outreach",,,,,
"Doniphan County Library - Elwood","Highland Community College - staff",,,,,
"Doniphan County Library - Elwood","Highland Community College - student",,,,,
"Doniphan County Library - Elwood","Highland Community College - student outreach",,,,,
"Doniphan County Library - Elwood","Louisburg - Hoopla access",,,,,
"Doniphan County Library - Elwood","Minor - (age 00-11)",,,,,
"Doniphan County Library - Elwood","Minor - (age 00-17)",151,3,2,,Yes
"Doniphan County Library - Elwood","Minor - (age 12)",,,,,
"Doniphan County Library - Elwood","Minor - (age 13-17)",,,,,
"Doniphan County Library - Elwood","Minor - digital only (age 00-11)",,,,,
"Doniphan County Library - Elwood","Minor - digital only (age 00-17)",,,,,
"Doniphan County Library - Elwood","Minor - digital only (age 12)",,,,,
"Doniphan County Library - Elwood","Minor - digital only (ages 13-17)",,,,,
"Doniphan County Library - Elwood","Minor - Osawatomie student (age 00-17)",,,,,
"Doniphan County Library - Elwood","Minor - other (age 00-17)",,,,,Yes
"Doniphan County Library - Elwood","Minor - temporary",,,,,
"Doniphan County Library - Elwood","Organization - book club",,,,,Yes
"Doniphan County Library - Elwood","Organization - interlibrary loan (exempt-ILL)",1,,,,Yes
"Doniphan County Library - Elwood","Staff - in house use (exempt)",2,,,,Yes
"Doniphan County Library - Elwood","Staff - library associate (exempt)",3,,,,Yes
"Doniphan County Library - Elwood","Staff - Permissions template",,,,,
"Doniphan County Library - Elwood","Staff - SIP user",,,,,
"Doniphan County Library - Elwood","Staff - statistical purposes",1,,,,Yes
"Doniphan County Library - Elwood","Staff - system login (exempt)",21,,,,
"Doniphan County Library - Elwood","Student (exempt)",,,,,
"Doniphan County Library - Elwood","Student (public library)",,,,,
"Doniphan County Library - Elwood","Teacher/Faculty/Administrator (exempt)",1,,,,Yes
"Doniphan County Library - Elwood","Teacher/Faculty/Administrator (public library)",,,,,
"Doniphan County Library - Highland",Adult,253,5,2,,Yes
"Doniphan County Library - Highland","Adult - college student",5,,,,Yes
"Doniphan County Library - Highland","Adult - digital only",,,,,
"Doniphan County Library - Highland","Adult - homebound",,,,,
"Doniphan County Library - Highland","Adult - library associate",,,,,
"Doniphan County Library - Highland","Adult - library board of trustees",,,,,
"Doniphan County Library - Highland","Adult - other",11,,,,Yes
"Doniphan County Library - Highland","Adult - self registered during the pandemic",,,,,
"Doniphan County Library - Highland","Adult - temporary",,,,,
"Doniphan County Library - Highland","Highland Community College - community member",,,,,
"Doniphan County Library - Highland","Highland Community College - faculty",,,,,
"Doniphan County Library - Highland","Highland Community College - faculty outreach",,,,,
"Doniphan County Library - Highland","Highland Community College - staff",,,,,
"Doniphan County Library - Highland","Highland Community College - student",,,,,
"Doniphan County Library - Highland","Highland Community College - student outreach",,,,,
"Doniphan County Library - Highland","Louisburg - Hoopla access",,,,,
"Doniphan County Library - Highland","Minor - (age 00-11)",,,,,
"Doniphan County Library - Highland","Minor - (age 00-17)",101,2,,,Yes
"Doniphan County Library - Highland","Minor - (age 12)",,,,,
"Doniphan County Library - Highland","Minor - (age 13-17)",,,,,
"Doniphan County Library - Highland","Minor - digital only (age 00-11)",,,,,
"Doniphan County Library - Highland","Minor - digital only (age 00-17)",,,,,
"Doniphan County Library - Highland","Minor - digital only (age 12)",,,,,
"Doniphan County Library - Highland","Minor - digital only (ages 13-17)",,,,,
"Doniphan County Library - Highland","Minor - Osawatomie student (age 00-17)",,,,,
"Doniphan County Library - Highland","Minor - other (age 00-17)",2,,,,Yes
"Doniphan County Library - Highland","Minor - temporary",,,,,
"Doniphan County Library - Highland","Organization - book club",,,,,Yes
"Doniphan County Library - Highland","Organization - interlibrary loan (exempt-ILL)",1,,,,Yes
"Doniphan County Library - Highland","Staff - in house use (exempt)",,,,,Yes
"Doniphan County Library - Highland","Staff - library associate (exempt)",1,,,,Yes
"Doniphan County Library - Highland","Staff - Permissions template",,,,,
"Doniphan County Library - Highland","Staff - SIP user",,,,,
"Doniphan County Library - Highland","Staff - statistical purposes",,,,,Yes
"Doniphan County Library - Highland","Staff - system login (exempt)",21,,,,
"Doniphan County Library - Highland","Student (exempt)",,,,,
"Doniphan County Library - Highland","Student (public library)",,,,,
"Doniphan County Library - Highland","Teacher/Faculty/Administrator (exempt)",1,,,,Yes
"Doniphan County Library - Highland","Teacher/Faculty/Administrator (public library)",,,,,
"Doniphan County Library - Troy",Adult,666,11,4,,Yes
"Doniphan County Library - Troy","Adult - college student",,,,,Yes
"Doniphan County Library - Troy","Adult - digital only",,,,,
"Doniphan County Library - Troy","Adult - homebound",,,,,
"Doniphan County Library - Troy","Adult - library associate",,,,,
"Doniphan County Library - Troy","Adult - library board of trustees",,,,,
"Doniphan County Library - Troy","Adult - other",3,,,,Yes
"Doniphan County Library - Troy","Adult - self registered during the pandemic",,,,,
"Doniphan County Library - Troy","Adult - temporary",,,,,
"Doniphan County Library - Troy","Highland Community College - community member",,,,,
"Doniphan County Library - Troy","Highland Community College - faculty",,,,,
"Doniphan County Library - Troy","Highland Community College - faculty outreach",,,,,
"Doniphan County Library - Troy","Highland Community College - staff",,,,,
"Doniphan County Library - Troy","Highland Community College - student",,,,,
"Doniphan County Library - Troy","Highland Community College - student outreach",,,,,
"Doniphan County Library - Troy","Louisburg - Hoopla access",,,,,
"Doniphan County Library - Troy","Minor - (age 00-11)",,,,,
"Doniphan County Library - Troy","Minor - (age 00-17)",258,6,2,,Yes
